<?xml version="1.0"?>
<datafile xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xsi:schemaLocation="https://datomatic.no-intro.org/stuff https://datomatic.no-intro.org/stuff/schema_nointro_datfile_v3.xsd">
	<header>
		<name>Nintendo - Pokemon Mini (Retool)</name>
		<description>Nintendo - Pokemon Mini (11) (-ly) [-aAbBcdDefkmMopPruv] (20260529-125415) (Retool)</description>
		<version>20260529-125415</version>
		<date>2026-09-06 07-24-32</date>
		<author>1988reload, Arctic Circle System, Flashfire42, psykopat, rarenight, relax, SonGoku</author>
		<homepage>http://www.github.com/unexpectedpanda/retool</homepage>
		<url>https://www.no-intro.org</url>
		<clrmamepro forcenodump="required"></clrmamepro>
		<retool>Created by Retool 2.4.9</retool>
	</header>
	<game name="Pokemon Party Mini (USA)" id="0009">
		<category>Games</category>
		<description>Pokemon Party Mini (USA)</description>
		<rom name="Pokemon Party Mini (USA).min" size="524288" crc="938d3819" md5="e0a064e6d758f958752a49c0ce798388" sha1="ac94ed80d6f857e9530d17cc77c43aa809bf0415" sha256="9c6619a683f76dcb63957d02ac4e812f9148b85e05cc6705b24a8a4e6080b221"/>
	</game>
	<game name="Pokemon Party Mini - Baseline Judge (USA) (GameCube)" id="0012">
		<category>Games</category>
		<description>Pokemon Party Mini - Baseline Judge (USA) (GameCube)</description>
		<rom name="Pokemon Party Mini - Baseline Judge (USA) (GameCube).min" size="524288" crc="0cfb4d1c" md5="2dea1b54200cea6389357cda076933e5" sha1="20004ffc01eeb04e72402e70fc97170111aafa6a" sha256="0c6dfd90087fb844c12790999d946d340009ee14ed66b5424959e247b7e424d0"/>
	</game>
	<game name="Pokemon Party Mini - Chansey's Dribble (Europe) (GameCube)" id="0013">
		<category>Games</category>
		<description>Pokemon Party Mini - Chansey's Dribble (Europe) (GameCube)</description>
		<rom name="Pokemon Party Mini - Chansey's Dribble (Europe) (GameCube).min" size="524288" crc="ba504497" md5="b8645e28349f7322dbd116785876bb50" sha1="c9a5f335c93e9bacf198b976d430cf798bc517bc" sha256="d5332ca80bd2876943e0fad5c30874a0d5847aecbb7c65e4e60dc774957947e9"/>
	</game>
	<game name="Pokemon Party Mini - Ricochet Dribble (USA) (GameCube)" id="0016">
		<category>Games</category>
		<description>Pokemon Party Mini - Ricochet Dribble (USA) (GameCube)</description>
		<rom name="Pokemon Party Mini - Ricochet Dribble (USA) (GameCube).min" size="524288" crc="3322ed38" md5="21e538081f163dc394a48f17fe5fe39b" sha1="ba1db1745933a941479d885fe0d1b52365b7f817" sha256="adac73e519c8e37a44f05289e7556369255e3f1710f5ca814aff5696a378858c"/>
	</game>
	<game name="Pokemon Party Mini - Rocket Start (USA) (GameCube)" id="0017">
		<category>Games</category>
		<description>Pokemon Party Mini - Rocket Start (USA) (GameCube)</description>
		<rom name="Pokemon Party Mini - Rocket Start (USA) (GameCube).min" size="524288" crc="44c5271e" md5="f899cab8f35452f83705484e16fef27a" sha1="840d43fe55e8e056940ff0b7bc6d7e4e11b5e047" sha256="6acaf422d8860b2d32a3b53774cb706eda0a1c75a0a40999a94f377f701bc67e"/>
	</game>
	<game name="Pokemon Party Mini - Slowking's Judge (Europe) (GameCube)" id="0018">
		<category>Games</category>
		<description>Pokemon Party Mini - Slowking's Judge (Europe) (GameCube)</description>
		<rom name="Pokemon Party Mini - Slowking's Judge (Europe) (GameCube).min" size="524288" crc="9fd4d48b" md5="a46b17f221404b64e914535831f36c3a" sha1="e3bd506b97ea94e9291c2fa4e1395e1829bafeaf" sha256="c28bfb381e0106cbfc4f284d35510238c938fe77596ed7d696963c173443a455"/>
	</game>
	<game name="Pokemon Pinball Mini (USA, Europe)" id="0021">
		<category>Games</category>
		<description>Pokemon Pinball Mini (USA, Europe)</description>
		<rom name="Pokemon Pinball Mini (USA, Europe).min" size="524288" crc="a0091534" md5="086ec88930aa624a09d470858ccc9911" sha1="3ec1e04de413c22e9034074789ff2c45646ec0ac" sha256="5ac75fd2b6d5dea85e17e5e6131339e0e19eefe978a6f4b7f8700fb28c89cc23"/>
	</game>
	<game name="Pokemon Puzzle Collection (USA, Europe)" id="0028">
		<category>Games</category>
		<description>Pokemon Puzzle Collection (USA, Europe)</description>
		<rom name="Pokemon Puzzle Collection (USA, Europe).min" size="524288" crc="2b348340" md5="1bb47758e8ea1c5ba39acf4a1d10c78e" sha1="9c5fa07cc9f93874b297f759a6c6fd98f6ec6f47" sha256="6c473867e9bad1883307d5372dedfa9443a620423d82ae83b6171fcaaffc291e"/>
	</game>
	<game name="Pokemon Tetris (Europe) (En,Fr,De)" id="0035">
		<category>Games</category>
		<description>Pokemon Tetris (Europe) (En,Fr,De)</description>
